Eps : 0.08
Baseline-accuray : 86.0
Uap-ver-accuray : 96.0
Avg-baseline-time : 0.0928322982788086
Avg-uap-ver-time : 0.09677661418914794
Eps : 0.09
Baseline-accuray : 80.0
Uap-ver-accuray : 94.0
Avg-baseline-time : 0.09313931465148925
Avg-uap-ver-time : 0.09824390888214111
Eps : 0.09999999999999999
Baseline-accuray : 66.0
Uap-ver-accuray : 90.0
Avg-baseline-time : 0.10259397983551026
Avg-uap-ver-time : 0.1081848955154419
Eps : 0.10999999999999999
Baseline-accuray : 42.0
Uap-ver-accuray : 70.0
Avg-baseline-time : 0.116033296585083
Avg-uap-ver-time : 0.12500271797180176
Eps : 0.11999999999999998
Baseline-accuray : 22.0
Uap-ver-accuray : 40.0
Avg-baseline-time : 0.1267081642150879
Avg-uap-ver-time : 0.13968973159790038
Eps : 0.12999999999999998
Baseline-accuray : 16.0
Uap-ver-accuray : 24.0
Avg-baseline-time : 0.13644365787506105
Avg-uap-ver-time : 0.15300732135772704
Eps : 0.13999999999999999
Baseline-accuray : 4.0
Uap-ver-accuray : 8.0
Avg-baseline-time : 0.14198966979980468
Avg-uap-ver-time : 0.1599584150314331
Eps : 0.15
Baseline-accuray : 0.0
Uap-ver-accuray : 0.0
Avg-baseline-time : 0.15503167152404784
Avg-uap-ver-time : 0.17542134761810302
Eps : 0.16
Baseline-accuray : 0.0
Uap-ver-accuray : 0.0
Avg-baseline-time : 0.15340752601623536
Avg-uap-ver-time : 0.17629113674163818
Eps : 0.17
Baseline-accuray : 0.0
Uap-ver-accuray : 0.0
Avg-baseline-time : 0.1457124662399292
Avg-uap-ver-time : 0.1664559268951416
