
Property No. 0

baseline verified proportion 0.6666666666666666
Uap verified proportion 0.6666666666666666

Property No. 1

baseline verified proportion 0.3333333333333333
Uap verified proportion 0.3333333333333333

Property No. 2

baseline verified proportion 0.0
Uap verified proportion 0.0

Property No. 3

baseline verified proportion 1.0
Uap verified proportion 1.0

Property No. 4

baseline verified proportion 0.6666666666666666
Uap verified proportion 0.6666666666666666

Property No. 5

baseline verified proportion 0.6666666666666666
Uap verified proportion 1.0

Property No. 6

baseline verified proportion 0.0
Uap verified proportion 0.3333333333333333

Property No. 7

baseline verified proportion 0.6666666666666666
Uap verified proportion 1.0

Property No. 8

baseline verified proportion 0.3333333333333333
Uap verified proportion 0.3333333333333333

Property No. 9

baseline verified proportion 0.6666666666666666
Uap verified proportion 0.6666666666666666

Property No. 10

baseline verified proportion 0.6666666666666666
Uap verified proportion 0.6666666666666666

Property No. 11

baseline verified proportion 0.6666666666666666
Uap verified proportion 0.6666666666666666

Property No. 12

baseline verified proportion 0.0
Uap verified proportion 1.0

Property No. 13

baseline verified proportion 0.0
Uap verified proportion 0.0

Property No. 14

baseline verified proportion 0.3333333333333333
Uap verified proportion 0.6666666666666666

Property No. 15

baseline verified proportion 0.3333333333333333
Uap verified proportion 0.6666666666666666

Property No. 16

baseline verified proportion 0.6666666666666666
Uap verified proportion 1.0

Property No. 17

baseline verified proportion 1.0
Uap verified proportion 1.0

Property No. 18

baseline verified proportion 1.0
Uap verified proportion 1.0

Property No. 19

baseline verified proportion 0.3333333333333333
Uap verified proportion 0.3333333333333333



Eps : 0.035
Baseline verified: 30.0
Uap verified: 39.0
Extra verified: 9.0
