
Property No. 0

baseline verified proportion 0.6
Uap verified proportion 0.6

Property No. 1

baseline verified proportion 0.7000000000000001
Uap verified proportion 0.8

Property No. 2

baseline verified proportion 0.7
Uap verified proportion 0.8

Property No. 3

baseline verified proportion 0.6
Uap verified proportion 0.6

Property No. 4

baseline verified proportion 0.4
Uap verified proportion 0.6

Property No. 5

baseline verified proportion 0.7000000000000001
Uap verified proportion 0.7

Property No. 6

baseline verified proportion 0.5
Uap verified proportion 0.6

Property No. 7

baseline verified proportion 0.7000000000000001
Uap verified proportion 0.7

Property No. 8

baseline verified proportion 0.8
Uap verified proportion 0.8

Property No. 9

baseline verified proportion 0.7
Uap verified proportion 0.8

Property No. 10

baseline verified proportion 0.7000000000000001
Uap verified proportion 0.8

Property No. 11

baseline verified proportion 0.7000000000000001
Uap verified proportion 0.8

Property No. 12

baseline verified proportion 0.7000000000000001
Uap verified proportion 0.7

Property No. 13

baseline verified proportion 1.0
Uap verified proportion 1.0

Property No. 14

baseline verified proportion 0.4
Uap verified proportion 0.5

Property No. 15

baseline verified proportion 0.4
Uap verified proportion 0.6

Property No. 16

baseline verified proportion 0.8
Uap verified proportion 0.9

Property No. 17

baseline verified proportion 0.6
Uap verified proportion 0.7

Property No. 18

baseline verified proportion 0.7000000000000001
Uap verified proportion 0.8

Property No. 19

baseline verified proportion 0.7000000000000001
Uap verified proportion 0.7

Property No. 20

baseline verified proportion 0.7000000000000001
Uap verified proportion 0.7

Property No. 21

baseline verified proportion 0.6000000000000001
Uap verified proportion 0.7

Property No. 22

baseline verified proportion 0.5
Uap verified proportion 0.6

Property No. 23

baseline verified proportion 0.9
Uap verified proportion 0.9

Property No. 24

baseline verified proportion 0.6
Uap verified proportion 0.6

Property No. 25

baseline verified proportion 0.5
Uap verified proportion 0.6

Property No. 26

baseline verified proportion 0.8
Uap verified proportion 0.8

Property No. 27

baseline verified proportion 0.9
Uap verified proportion 0.9

Property No. 28

baseline verified proportion 0.8
Uap verified proportion 0.8

Property No. 29

baseline verified proportion 0.9
Uap verified proportion 0.9



Eps : 0.04
Baseline verified: 203.0
Uap verified: 220.0
Extra verified: 17.0
