
Property No. 0

baseline verified proportion 0.2
Uap verified proportion 0.3

Property No. 1

baseline verified proportion 0.4
Uap verified proportion 0.4

Property No. 2

baseline verified proportion 0.30000000000000004
Uap verified proportion 0.4

Property No. 3

baseline verified proportion 0.4
Uap verified proportion 0.5

Property No. 4

baseline verified proportion 0.1
Uap verified proportion 0.3

Property No. 5

baseline verified proportion 0.2
Uap verified proportion 0.3

Property No. 6

baseline verified proportion 0.30000000000000004
Uap verified proportion 0.5

Property No. 7

baseline verified proportion 0.5
Uap verified proportion 0.6

Property No. 8

baseline verified proportion 0.4
Uap verified proportion 0.4

Property No. 9

baseline verified proportion 0.30000000000000004
Uap verified proportion 0.5

Property No. 10

baseline verified proportion 0.4
Uap verified proportion 0.4

Property No. 11

baseline verified proportion 0.1
Uap verified proportion 0.2

Property No. 12

baseline verified proportion 0.30000000000000004
Uap verified proportion 0.3

Property No. 13

baseline verified proportion 0.7000000000000001
Uap verified proportion 0.8

Property No. 14

baseline verified proportion 0.2
Uap verified proportion 0.3

Property No. 15

baseline verified proportion 0.0
Uap verified proportion 0.1

Property No. 16

baseline verified proportion 0.4
Uap verified proportion 0.5

Property No. 17

baseline verified proportion 0.30000000000000004
Uap verified proportion 0.3

Property No. 18

baseline verified proportion 0.30000000000000004
Uap verified proportion 0.4

Property No. 19

baseline verified proportion 0.30000000000000004
Uap verified proportion 0.3



Eps : 0.015
Baseline verified: 61.0
Uap verified: 78.0
Extra verified: 17.0
